v-sweep,v(vs),v(vg),v(vd),i(v.xdut.v1),i(v.xdut.v2),i(v.xdut.v3),id1,id2,id3,vsg,vsd,gm1,gm2,gm3
0.75,1.8,1.05,0.0,2.23315e-07,1.34507e-06,2.1452e-06,0.223315,1.34507,2.1452,0.75,1.8,-0.7892999999999977,-0.4150000000000094,-0.4920000000000253
0.76,1.8,1.04,0.0,2.16524e-07,1.34257e-06,2.14232e-06,0.216524,1.34257,2.14232,0.76,1.8,-0.6791000000000014,-0.24999999999999445,-0.2880000000000213
0.77,1.8,1.03,0.0,2.11002e-07,1.342e-06,2.14182e-06,0.211002,1.342,2.14182,0.77,1.8,-0.5521999999999995,-0.056999999999995894,-0.04999999999997225
0.78,1.8,1.02,0.0,2.06922e-07,1.34359e-06,2.14401e-06,0.206922,1.34359,2.14401,0.78,1.8,-0.40799999999999964,0.1589999999999979,0.21900000000001343
0.79,1.8,1.01,0.0,2.04461e-07,1.34764e-06,2.14926e-06,0.204461,1.3476400000000002,2.14926,0.79,1.8,-0.24609999999999888,0.4050000000000106,0.524999999999975
0.8,1.8,1.0,0.0,2.03813e-07,1.35441e-06,2.15792e-06,0.203813,1.35441,2.15792,0.8,1.8,-0.06480000000000091,0.6769999999999715,0.8659999999999882
0.81,1.8,0.99,0.0,2.05168e-07,1.36422e-06,2.17039e-06,0.205168,1.36422,2.1703900000000003,0.81,1.8,0.1354999999999994,0.9810000000000088,1.2470000000000414
0.82,1.8,0.98,0.0,2.0873e-07,1.37735e-06,2.18708e-06,0.20873,1.37735,2.18708,0.8200000000000001,1.8,0.3562000000000006,1.3130000000000075,1.6689999999999634
0.83,1.8,0.97,0.0,2.14708e-07,1.39415e-06,2.2084e-06,0.21470799999999998,1.39415,2.2083999999999997,0.8300000000000001,1.8,0.5977999999999978,1.679999999999991,2.1319999999999766
0.84,1.8,0.96,0.0,2.23326e-07,1.41494e-06,2.23479e-06,0.223326,1.41494,2.23479,0.8400000000000001,1.8,0.8618000000000007,2.079000000000007,2.6390000000000113
0.85,1.8,0.95,0.0,2.34822e-07,1.44007e-06,2.26675e-06,0.234822,1.44007,2.26675,0.8500000000000001,1.8,1.1495999999999995,2.5129999999999852,3.1960000000000184
0.86,1.8,0.94,0.0,2.49455e-07,1.46994e-06,2.30477e-06,0.24945499999999998,1.46994,2.30477,0.8600000000000001,1.8,1.4632999999999967,2.9870000000000037,3.8019999999999907
0.87,1.8,0.93,0.0,2.67512e-07,1.50495e-06,2.34941e-06,0.26751199999999997,1.50495,2.34941,0.87,1.8,1.8057000000000174,3.5010000000000345,4.464000000000069
0.88,1.8,0.92,0.0,2.89314e-07,1.54556e-06,2.40127e-06,0.289314,1.54556,2.40127,0.88,1.8,2.1802000000000024,4.061,5.185999999999953
0.89,1.8,0.91,0.0,3.15225e-07,1.5923e-06,2.46104e-06,0.31522500000000003,1.5923,2.46104,0.89,1.8,2.5910999999999995,4.673999999999996,5.977000000000027
0.9,1.8,0.9,0.0,3.45666e-07,1.64575e-06,2.52948e-06,0.345666,1.64575,2.52948,0.9,1.8,3.0440999999999914,5.344999999999995,6.843999999999977
0.91,1.8,0.89,0.0,3.81121e-07,1.70659e-06,2.60747e-06,0.381121,1.70659,2.60747,0.91,1.8,3.5454999999999983,6.083999999999995,7.7990000000000155
0.92,1.8,0.88,0.0,4.2215e-07,1.77562e-06,2.69602e-06,0.42215,1.77562,2.69602,0.92,1.8,4.1029,6.902999999999986,8.854999999999961
0.93,1.8,0.87,0.0,4.69397e-07,1.85375e-06,2.79631e-06,0.46939699999999995,1.85375,2.79631,0.93,1.8,4.724699999999989,7.812999999999996,10.029000000000012
0.94,1.8,0.86,0.0,5.23598e-07,1.94205e-06,2.90971e-06,0.523598,1.9420499999999998,2.90971,0.9400000000000001,1.8,5.420100000000001,8.829999999999975,11.339999999999984
0.95,1.8,0.85,0.0,5.85588e-07,2.04175e-06,3.0378e-06,0.585588,2.04175,3.0378,0.9500000000000001,1.8,6.198999999999994,9.970000000000004,12.80899999999997
0.96,1.8,0.84,0.0,6.56284e-07,2.15425e-06,3.18237e-06,0.656284,2.15425,3.1823699999999997,0.9600000000000001,1.8,7.0695999999999914,11.250000000000016,14.456999999999974
0.97,1.8,0.83,0.0,7.36666e-07,2.2811e-06,3.34515e-06,0.7366659999999999,2.2811,3.34515,0.9700000000000001,1.8,8.038199999999987,12.684999999999958,16.278
0.98,1.8,0.82,0.0,8.2789e-07,2.4241e-06,3.52917e-06,0.82789,2.4240999999999997,3.52917,0.9800000000000001,1.8,9.1224,14.299999999999967,18.40200000000001
0.99,1.8,0.81,0.0,9.31067e-07,2.58511e-06,3.73664e-06,0.931067,2.58511,3.7366400000000004,0.99,1.8,10.317700000000102,16.101000000000173,20.747000000000238
1.0,1.8,0.8,0.0,1.04738e-06,2.76615e-06,3.97038e-06,1.04738,2.76615,3.9703799999999996,1.0,1.8,11.631299999999989,18.104000000000013,23.373999999999896
1.01,1.8,0.79,0.0,1.178e-06,2.96934e-06,4.23338e-06,1.178,2.96934,4.23338,1.01,1.8,13.061999999999983,20.318999999999956,26.300000000000054
1.02,1.8,0.78,0.0,1.32412e-06,3.19681e-06,4.52882e-06,1.3241200000000002,3.1968099999999997,4.5288200000000005,1.02,1.8,14.612000000000013,22.746999999999964,29.54399999999999
1.03,1.8,0.77,0.0,1.48685e-06,3.45071e-06,4.85993e-06,1.48685,3.45071,4.85993,1.03,1.8,16.272999999999968,25.39,33.11099999999995
1.04,1.8,0.76,0.0,1.66725e-06,3.73313e-06,5.22999e-06,1.66725,3.73313,5.22999,1.04,1.8,18.039999999999974,28.241999999999987,37.00599999999993
1.05,1.8,0.75,0.0,1.86629e-06,4.04605e-06,5.64224e-06,1.86629,4.04605,5.64224,1.05,1.8,19.903999999999993,31.29199999999998,41.22499999999999
1.06,1.8,0.74,0.0,2.08485e-06,4.39133e-06,6.09979e-06,2.08485,4.39133,6.09979,1.06,1.8,21.855999999999966,34.52799999999995,45.7549999999999
1.07,1.8,0.73,0.0,2.32368e-06,4.77062e-06,6.60558e-06,2.32368,4.77062,6.60558,1.07,1.8,23.88299999999999,37.92899999999998,50.57899999999997
1.08,1.8,0.72,0.0,2.58342e-06,5.18541e-06,7.1623e-06,2.58342,5.18541,7.1623,1.08,1.8,25.973999999999965,41.478999999999964,55.67199999999998
