Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
20.0,0.901373,0.01,0.001,325302.0,-0.06335806859999962,116.2580724,90.06767421811286,-0.06335806859999962,0.023627062455033373,0.024999012,1.8,Typical
21.0,0.901747,0.01,0.001,325302.0,-0.06481481939999988,115.97805539999999,89.8065841922586,-0.06481481939999988,0.023633902635851356,0.024999933600000582,1.8,Typical
22.0,0.902123,0.01,0.001,325302.0,-0.06633582479999994,115.6981374,89.53767697427021,-0.06633582479999994,0.02365860650736526,0.0249988481999999,1.8,Typical
23.0,0.902505,0.01,0.001,325302.0,-0.06801183900000024,115.41093479999999,89.25433687130824,-0.06801183900000024,0.02360950335042294,0.024999467399999756,1.8,Typical
24.0,0.902887,0.01,0.001,325302.0,-0.0695679731999993,115.1217288,88.9916552090004,-0.0695679731999993,0.023661883978610798,0.024998049000000657,1.8,Typical
25.0,0.903264,0.01,0.001,325302.0,-0.07128647820000031,114.8271498,88.69280930329424,-0.07128647820000031,0.023684151262461588,0.024998151600000032,1.8,Typical
26.0,0.903651,0.01,0.001,325302.0,-0.07296860340000011,114.5310804,87.7732859691749,-0.07296860340000011,0.023694735432974002,0.024999929999998047,1.8,Typical
27.0,0.90403,0.01,0.001,325302.0,-0.07477205940000033,114.2290908,88.14046929063811,-0.07477205940000033,0.023689664563299854,0.024999683399999945,1.8,Typical
28.0,0.904414,0.01,0.001,325302.0,-0.07653116340000007,113.9230206,87.86494522356851,-0.07653116340000007,0.023734831177703867,0.024996961800000283,1.8,Typical
29.0,0.904794,0.01,0.001,325302.0,-0.07833703499999974,113.6122524,87.55723226136648,-0.07833703499999974,0.02369140118513119,0.024999325199999943,1.8,Typical
30.0,0.905184,0.01,0.001,325302.0,-0.08016942239999975,113.2991784,87.288616282535,-0.08016942239999975,0.0237084957822853,0.024999993000000192,1.8,Typical
31.0,0.905566,0.01,0.001,325302.0,-0.08201644020000033,112.98003804,86.99272635484898,-0.08201644020000033,0.02374451394548059,0.024999699599999967,1.8,Typical
32.0,0.905956,0.01,0.001,325302.0,-0.08387941680000013,112.65806736,86.699243792321,-0.08387941680000013,0.02376602777555886,0.024999980400000038,1.8,Typical
33.0,0.906351,0.01,0.001,325302.0,-0.0857595582000001,112.33257137999999,86.38749027491346,-0.0857595582000001,0.02382337661204849,0.024997512599999987,1.8,Typical
34.0,0.906739,0.01,0.001,325302.0,-0.08768064959999938,112.00153409999999,86.04232915317566,-0.08768064959999938,0.023814245756782912,0.024997140000000324,1.8,Typical
35.0,0.907126,0.01,0.001,324302.0,-0.08923318740000007,111.66479946,85.4730105412022,-0.08923318740000007,0.02379875737477944,0.024996909599999825,1.8,Typical
36.0,0.907521,0.01,0.001,299302.0,-0.09118025820000042,111.32672886,85.09340955039549,-0.09118025820000042,0.023824453342351656,0.0249983082,1.8,Typical
37.0,0.907917,0.01,0.001,299302.0,-0.09311219999999981,110.98358028000001,84.79441909328136,-0.09311219999999981,0.02384915947234815,0.024998849999999257,1.8,Typical
