Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns)
0.896216,Typical,1.8,6.0,0.01,0.001,325302.0,93.68462838095148,-0.06665614920000032,122.46546600000002,0.02328696539999904,0.0010780000000000234,0.800484,128700.0
0.896572,Typical,1.8,7.0,0.01,0.001,325302.0,93.45154668849099,-0.05715851580000031,122.257593,0.023237213400000033,0.0010930000000000106,0.798313,128700.0
0.896943,Typical,1.8,8.0,0.01,0.001,325302.0,93.24499593113241,-0.05222219400000015,122.028921,0.023303898000000087,0.0010919999999999819,0.796161,128700.0
0.897304,Typical,1.8,9.0,0.01,0.001,325302.0,92.31548611156767,-0.05167097099999988,121.7946798,0.02327717340000013,0.0010979999999999324,0.794027,128700.0
0.897672,Typical,1.8,10.0,0.01,0.001,325302.0,92.6629562149447,-0.051860921399999566,121.08176640000002,0.023299631999999845,0.0011059999999999404,0.79191,128700.0
0.89803,Typical,1.8,11.0,0.01,0.001,325302.0,92.48721363641974,-0.05230778400000002,120.82432499999999,0.02332531620000011,0.0011129999999999196,0.789809,128700.0
0.898404,Typical,1.8,12.0,0.01,0.001,325302.0,92.23621512414203,-0.053176462199999906,120.72163499999999,0.02325950820000014,0.0011139999999999484,0.787723,128700.0
0.898768,Typical,1.8,13.0,0.01,0.001,325302.0,91.96885197057807,-0.05422075200000004,120.40218720000001,0.023253307199999917,0.0011160000000000059,0.785651,128700.0
0.899134,Typical,1.8,14.0,0.01,0.001,325302.0,91.71348368171692,-0.055284512399999854,120.0782682,0.023329837799999312,0.0011289999999999356,0.783592,128700.0
0.899508,Typical,1.8,15.0,0.01,0.001,325302.0,91.42544379772539,-0.056496614400000124,119.7420156,0.023387248799999934,0.0011209999999999276,0.781546,128700.0
0.899871,Typical,1.8,16.0,0.01,0.001,325302.0,91.1940899916656,-0.05783429699999969,119.39571719999999,0.023319959399999857,0.0011349999999999971,0.779512,128700.0
0.900248,Typical,1.8,17.0,0.01,0.001,325302.0,90.91009223473229,-0.05917024259999993,119.0489724,0.023347117799999772,0.0011379999999999724,0.777489,128700.0
0.900624,Typical,1.8,18.0,0.01,0.001,325302.0,90.65336805244992,-0.06059894940000039,116.8079742,0.02333526659999984,0.0011300000000000754,0.775477,128700.0
0.901002,Typical,1.8,19.0,0.01,0.001,325302.0,90.3795538149135,-0.06196661459999892,116.53604460000001,0.023332024800000142,0.0011290000000000466,0.773475,128700.0
0.901373,Typical,1.8,20.0,0.01,0.001,325302.0,90.06767421811286,-0.06335806859999962,116.2580724,0.023363697599999997,0.0011390000000000011,0.771483,128700.0
0.901747,Typical,1.8,21.0,0.01,0.001,325302.0,89.8065841922586,-0.06481481939999988,115.97805539999999,0.023360509800002243,0.0011419999999999764,0.7695,128700.0
0.902123,Typical,1.8,22.0,0.01,0.001,325302.0,89.53767697427021,-0.06633582479999994,115.6981374,0.023390220599999897,0.0011360000000000259,0.767525,128700.0
0.902505,Typical,1.8,23.0,0.01,0.001,325302.0,89.25433687130824,-0.06801183900000024,115.41093479999999,0.023337323999999753,0.0011379999999999724,0.765558,128700.0
0.902887,Typical,1.8,24.0,0.01,0.001,325302.0,88.9916552090004,-0.0695679731999993,115.1217288,0.023397685199999328,0.0011360000000000259,0.7636,128700.0
0.903264,Typical,1.8,25.0,0.01,0.001,325302.0,88.69280930329424,-0.07128647820000031,114.8271498,0.023435339400000074,0.0011370000000000546,0.761648,128700.0
0.903651,Typical,1.8,26.0,0.01,0.001,325302.0,87.7732859691749,-0.07296860340000011,114.5310804,0.02343751559999805,0.0011259999999999604,0.759704,128700.0
0.90403,Typical,1.8,27.0,0.01,0.001,325302.0,88.14123510584699,-0.07477159140000032,114.229089,0.02343324959999994,0.0011259999999999604,0.757766,128700.0
0.904414,Typical,1.8,28.0,0.01,0.001,325302.0,87.86494522356851,-0.07653116340000007,113.9230206,0.023486630400000277,0.0011260000000000714,0.755835,128700.0
0.904794,Typical,1.8,29.0,0.01,0.001,325302.0,87.55723226136648,-0.07833703499999974,113.6122524,0.023437835999999945,0.0011260000000000714,0.75391,128700.0
0.905184,Typical,1.8,30.0,0.01,0.001,325302.0,87.288616282535,-0.08016942239999975,113.2991784,0.023458860000000605,0.0011170000000000346,0.751991,128700.0
0.905566,Typical,1.8,31.0,0.01,0.001,325302.0,86.99272635484898,-0.08201644020000033,112.98003804,0.023501636999999968,0.0011210000000000386,0.750076,128700.0
