Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.909271,ttmm,1.8,125.0,0.012,0.006,567905.0,62.64965238469503,-0.29082528539999974,93.066876,0.04516732440000114,0.0009470000000000312,0.578804,62103.00000000006,17
0.958978,ttmm,1.8,125.0,0.011,0.003,536705.0,61.986301896411305,-1.2623307101999999,99.01142460000001,0.047647456200000035,-0.002075000000000049,0.584312,61803.0,18
0.959485,ttmm,1.8,125.0,0.009,0.002,507701.99999999994,73.01261898105687,-0.9107912340000003,109.98152280000001,0.05093930520000007,-0.003229999999999955,0.583662,,19
0.839876,ttmm,1.8,125.0,0.013,0.006,564902.0,60.22491303685555,-0.3046108122,88.0304328,0.04926453479999966,0.01108600000000004,0.572053,62000.00000000006,20
0.930652,ttmm,1.8,125.0,0.01,0.007,547702.0,61.27107997526241,0.04491346679999997,99.00500760000001,0.04510961099999999,0.0005830000000000002,0.581592,61800.0,21
,ttmm,1.8,125.0,,,,68.29863989004254,36.244170000000004,98.5562442,,,,,22
0.906508,ttmm,1.8,125.0,0.012,0.005,540402.0,62.12081028207937,-1.4521448934000014,92.3754204,0.04441012919999988,0.0033170000000000144,0.579897,61800.0,23
0.938981,ttmm,1.8,125.0,0.011,0.005,535705.0,60.4907727960261,-1.2643305497999997,89.82459360000001,0.05248427219999999,0.0024399999999999977,0.581559,61803.0,24
0.909972,ttmm,1.8,125.0,0.013,0.006,565005.0,64.6290104374974,0.05230763063999997,91.40241239999999,0.05350910040000002,0.0022919999999999607,0.578327,62103.00000000006,25
0.939312,ttmm,1.8,125.0,0.011,0.003,530102.0,60.36793211803116,-1.2598414055999985,95.7864384,0.049177044000002265,-0.0009859999999999314,0.581984,61700.0,26
0.939146,ttmm,1.8,125.0,0.011,0.002,459302.0,65.77280021212958,-1.2639371543999998,97.2429624,0.0491664635999997,-0.0014399999999999968,0.582088,130800.0,27
0.949105,ttmm,1.8,125.0,0.011,0.003,536602.0,60.48791479137861,-1.2737723561999996,96.49599479999999,0.057832999200000026,-0.001595000000000013,0.582329,61700.0,28
0.950103,ttmm,1.8,125.0,0.013,0.004,525605.0,67.40632145358366,-0.3104601714000006,106.828848,0.044983954799999795,-0.0005370000000000097,0.582178,61803.0,29
